vx  vy
-2.2955254233916755e-13  4.620748228489902e-13
3.125370098265872  1.6148193893172902e-13
1.7509300733079858  -1.2279066652354231e-13
1.2414978728631256  -9.880984919163893e-14
0.9535906895123025  -8.43769498715119e-14
0.7734243819468691  -7.127631818093505e-14
0.6496286596997263  -6.705747068735946e-14
0.5596429285594402  -5.706546346573305e-14
0.4913198024707821  -1.0480505352461478e-13
0.4377165432766854  -9.414691248821327e-14
0.39454906005740975  -8.970602038971265e-14
0.3590419255091728  -8.526512829121202e-14
0.32931774642198874  -8.08242361927114e-14
0.3040623401461202  -7.460698725481052e-14
0.2823285287736099  -6.927791673660977e-14
0.2634165696488495  -6.661338147750939e-14
0.24679835871648148  -6.261657858885883e-14
0.23206784702116834  -5.950795411990839e-14
0.21890767854363502  -5.595524044110789e-14
0.20706618915773634  -5.5067062021407764e-14
0.19634120227160134  -5.240252676230739e-14
0.18656839147675264  0.0
0.1776127780399308  0.0
0.1693624218660159  0.0
0.16172367403941457  0.0
0.1546175586965992  0.0
0.14797698341504606  0.0
0.14174456545696834  0.0
0.1358709213424455  0.0
0.13031330889572013  0.0
0.12503454019843618  0.0
0.1200021047473464  0.0
0.11518745715908651  0.0
0.1105654347384929  0.0
0.10611377831684243  0.0
0.10181273578940753  0.0
0.09764473230826409  0.0
0.09359409451741646  0.0
0.08964681883984721  0.0
0.08579037584609944  0.0
0.0820135443013611  0.0
0.07830626971283894  0.0
0.07465954316281748  0.0
0.07106529697592656  0.0
0.06751631437758565  0.0
0.06400615078867677  0.0
0.06052906479596651  0.0
0.05707995715846692  0.0
0.05365431647274371  0.0
0.05024817033706255  0.0
0.046858041034663234  0.0
0.04348090490778657  0.0
0.04011415472200125  0.0
0.036755564429452214  0.0
0.033403255833355  0.0
0.030055666737149607  0.0
0.026711520232247057  0.0
0.023369794839955535  0.0
0.02002969527708311  0.0
0.016690623661855985  0.0
0.013352151017778788  0.0
0.010013988968377812  0.0
0.006675961545710923  0.0
0.0033379770603144347  0.0
0.0  0.0
4.980460488468452e-13  3.125370098260807
2.2498825724309355  2.2498825724279463
1.562732948997021  0.9418291201395321
1.1537850805728713  0.39853212332330934
